code;name;specification
1;TESOURO;Recursos próprios gerados pelo Município, ou decorrentes de Cota-Parte Constitucional
2;TRANSFERÊNCIAS E CONVÊNIOS ESTADUAIS-VINCULADOS;Recursos originários de transferências estaduais em virtude de assinatura de convênios ou legislações específicas, cuja destinação encontra-se vinculada aos seus objetos
3;RECURSOS PRÓPRIOS DE FUNDOS ESPECIAIS DE DESPESA-VINCULADOS;Recursos gerados pelos Fundos Especiais de Despesa ou a eles pertencentes, com destinação vinculada conforme legislação específica de criação de cada Fundo
4;RECURSOS PRÓPRIOS DA ADMINISTRAÇÃO INDIRETA;Recursos gerados pelos respectivos Órgãos que compõem a Administração Indireta do Município, conforme legislação específica de criação de cada entidade
5;TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS;Recursos originários de transferências federais em virtude de assinatura de convênios ou legislações específicas, cuja destinação encontra-se vinculada aos seus objetos
6;OUTRAS FONTES DE RECURSOS;Recursos não enquadrados em especificações próprias
7;OPERAÇÕES DE CRÉDITO;Recursos originários de operações de crédito internas ou externas
91;TESOURO-exercícios anteriores;"Recursos próprios gerados pelo Município, ou decorrentes de Cota-Parte Constitucional; Utilizada apenas para controle das disponibilidades financeiras advindas do exercício anterior."
92;TRANSFERÊNCIAS E CONVÊNIOS ESTADUAIS-VINCULADOS–exercícios anteriores;"Recursos originários de transferências estaduais em virtude de assinatura de convênios ou legislações específicas, cuja destinação encontra-se vinculada aos seus objetos; Utilizada apenas para controle das disponibilidades financeiras advindas do exercício anterior."
93;RECURSOS PRÓPRIOS DE FUNDOS ESPECIAIS DE DESPESA-VINCULADOS–exercícios anteriores;Recursos gerados pelos Fundos Especiais de Despesa ou a eles pertencentes, com destinação vinculada conforme legislação específica de criação de cada Fundo
94;RECURSOS PRÓPRIOS DA ADMINISTRAÇÃO INDIRETA-exercícios anteriores;"Recursos gerados pelos respectivos Órgãos que compõem a Administração Indireta do Município, conforme legislação específica de criação de cada entidade; Utilizada apenas para controle das disponibilidades financeiras advindas do exercício anterior."
95;TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS-exercícios anteriores;"Recursos originários de transferências federais em virtude de assinatura de convênios ou legislações específicas, cuja destinação encontra-se vinculada aos seus objetos; Utilizada apenas para controle das disponibilidades financeiras advindas do exercício anterior."
96;OUTRAS FONTES DE RECURSOS-exercícios anteriores;Recursos não enquadrados em especificações próprias
97;OPERAÇÕES DE CRÉDITO-exercícios anteriores;"Recursos originários de operações de crédito internas ou externas; Utilizada apenas para controle das disponibilidades financeiras advindas do exercício anterior."
