id;name;code;state_id
1;ALTA FLORESTA D'OESTE;1100015;1
2;ARIQUEMES;1100023;1
3;CABIXI;1100031;1
4;CACOAL;1100049;1
5;CEREJEIRAS;1100056;1
6;COLORADO DO OESTE;1100064;1
7;CORUMBIARA;1100072;1
8;COSTA MARQUES;1100080;1
9;ESPIGAO D'OESTE;1100098;1
10;GUAJARA-MIRIM;1100106;1
11;JARU;1100114;1
12;JI-PARANA;1100122;1
13;MACHADINHO D'OESTE;1100130;1
14;NOVA BRASILANDIA D'OESTE;1100148;1
15;OURO PRETO DO OESTE;1100155;1
16;PIMENTA BUENO;1100189;1
17;PORTO VELHO;1100205;1
18;PRESIDENTE MEDICI;2109239;1
19;RIO CRESPO;1100262;1
20;ROLIM DE MOURA;1100288;1
21;SANTA LUZIA D'OESTE;1100296;1
22;VILHENA;1100304;1
23;SAO MIGUEL DO GUAPORE;1100320;1
24;NOVA MAMORE;1100338;1
25;ALVORADA D'OESTE;1100346;1
26;ALTO ALEGRE DOS PARECIS;1100379;1
27;ALTO PARAISO;4128625;1
28;BURITIS;3109303;1
29;NOVO HORIZONTE DO OESTE;1100502;1
30;CACAULANDIA;1100601;1
31;CAMPO NOVO DE RONDONIA;1100700;1
32;CANDEIAS DO JAMARI;1100809;1
33;CASTANHEIRAS;1100908;1
34;CHUPINGUAIA;1100924;1
35;CUJUBIM;1100940;1
36;GOVERNADOR JORGE TEIXEIRA;1101005;1
37;ITAPUA DO OESTE;1101104;1
38;MINISTRO ANDREAZZA;1101203;1
39;MIRANTE DA SERRA;1101302;1
40;MONTE NEGRO;1101401;1
41;NOVA UNIAO;3136603;1
42;PARECIS;1101450;1
43;PIMENTEIRAS DO OESTE;1101468;1
44;PRIMAVERA DE RONDONIA;1101476;1
45;SAO FELIPE D'OESTE;1101484;1
46;SAO FRANCISCO DO GUAPORE;1101492;1
47;SERINGUEIRAS;1101500;1
48;TEIXEIROPOLIS;1101559;1
49;THEOBROMA;1101609;1
50;URUPA;1101708;1
51;VALE DO ANARI;1101757;1
52;VALE DO PARAISO;1101807;1
53;ACRELANDIA;1200013;2
54;ASSIS BRASIL;1200054;2
55;BRASILEIA;1200104;2
56;BUJARI;1200138;2
57;CAPIXABA;1200179;2
58;CRUZEIRO DO SUL;4306205;2
59;EPITACIOLANDIA;1200252;2
60;FEIJO;1200302;2
61;JORDAO;1200328;2
62;MANCIO LIMA;1200336;2
63;MANOEL URBANO;1200344;2
64;MARECHAL THAUMATURGO;1200351;2
65;PLACIDO DE CASTRO;1200385;2
66;PORTO WALTER;1200393;2
67;RIO BRANCO;5107206;2
68;RODRIGUES ALVES;1200427;2
69;SANTA ROSA DO PURUS;1200435;2
70;SENADOR GUIOMARD;1200450;2
71;SENA MADUREIRA;1200500;2
72;TARAUACA;1200609;2
73;XAPURI;1200708;2
74;PORTO ACRE;1200807;2
75;ALVARAES;1300029;3
76;AMATURA;1300060;3
77;ANAMA;1300086;3
78;ANORI;1300102;3
79;APUI;1300144;3
80;ATALAIA DO NORTE;1300201;3
81;AUTAZES;1300300;3
82;BARCELOS;1300409;3
83;BARREIRINHA;1300508;3
84;BENJAMIN CONSTANT;1300607;3
85;BERURI;1300631;3
86;BOA VISTA DO RAMOS;1300680;3
87;BOCA DO ACRE;1300706;3
88;BORBA;1300805;3
89;CAAPIRANGA;1300839;3
90;CANUTAMA;1300904;3
91;CARAUARI;1301001;3
92;CAREIRO;1301100;3
93;CAREIRO DA VARZEA;1301159;3
94;COARI;1301209;3
95;CODAJAS;1301308;3
96;EIRUNEPE;1301407;3
97;ENVIRA;1301506;3
98;FONTE BOA;1301605;3
99;GUAJARA;1301654;3
100;HUMAITA;4309704;3
101;IPIXUNA;1301803;3
102;IRANDUBA;1301852;3
103;ITACOATIARA;1301902;3
104;ITAMARATI;1301951;3
105;ITAPIRANGA;4208401;3
106;JAPURA;4112405;3
107;JURUA;1302207;3
108;JUTAI;1302306;3
109;LABREA;1302405;3
110;MANACAPURU;1302504;3
111;MANAQUIRI;1302553;3
112;MANAUS;1302603;3
113;MANICORE;1302702;3
114;MARAA;1302801;3
115;MAUES;1302900;3
116;NHAMUNDA;1303007;3
117;NOVA OLINDA DO NORTE;1303106;3
118;NOVO AIRAO;1303205;3
119;NOVO ARIPUANA;1303304;3
120;PARINTINS;1303403;3
121;PAUINI;1303502;3
122;PRESIDENTE FIGUEIREDO;1303536;3
123;RIO PRETO DA EVA;1303569;3
124;SANTA ISABEL DO RIO NEGRO;1303601;3
125;SANTO ANTONIO DO ICA;1303700;3
126;SAO GABRIEL DA CACHOEIRA;1303809;3
127;SAO PAULO DE OLIVENCA;1303908;3
128;SAO SEBASTIAO DO UATUMA;1303957;3
129;SILVES;1304005;3
130;TABATINGA;3552700;3
131;TAPAUA;1304104;3
132;TEFE;1304203;3
133;TONANTINS;1304237;3
134;UARINI;1304260;3
135;URUCARA;1304302;3
136;URUCURITUBA;1304401;3
137;AMAJARI;1400027;4
138;ALTO ALEGRE;4300554;4
139;BOA VISTA;2502151;4
140;BONFIM;3108107;4
141;CANTA;1400175;4
142;CARACARAI;1400209;4
143;CAROEBE;1400233;4
144;IRACEMA;2306009;4
145;MUCAJAI;1400308;4
146;NORMANDIA;1400407;4
147;PACARAIMA;1400456;4
148;RORAINOPOLIS;1400472;4
149;SAO JOAO DA BALIZA;1400506;4
150;SAO LUIZ;1400605;4
151;UIRAMUTA;1400704;4
152;ABAETETUBA;1500107;5
153;ABEL FIGUEIREDO;1500131;5
154;ACARA;1500206;5
155;AFUA;1500305;5
156;AGUA AZUL DO NORTE;1500347;5
157;ALENQUER;1500404;5
158;ALMEIRIM;1500503;5
159;ALTAMIRA;1500602;5
160;ANAJAS;1500701;5
161;ANANINDEUA;1500800;5
162;ANAPU;1500859;5
163;AUGUSTO CORREA;1500909;5
