id,code,name,parent_id,lft,rgt,created_at,updated_at
1,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",,1,236,2013-02-26 01:03:41.707476,2013-02-26 01:04:20.034579
2,01,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1,2,235,2013-02-26 01:03:41.773274,2013-02-26 01:04:20.03068
3,01.1,"Produção de lavouras temporárias",2,3,66,2013-02-26 01:03:41.780091,2013-02-26 01:04:18.956695
4,01.11-3,"Cultivo de cereais",3,4,13,2013-02-26 01:03:41.783921,2013-02-26 01:04:18.67373
5,0111-3/01,"Cultivo de arroz",4,5,6,2013-02-26 01:03:41.794217,2013-02-26 01:04:18.644143
6,0111-3/02,"Cultivo de milho",4,7,8,2013-02-26 01:03:41.799638,2013-02-26 01:04:18.652504
7,0111-3/03,"Cultivo de trigo",4,9,10,2013-02-26 01:03:41.807509,2013-02-26 01:04:18.658457
8,0111-3/99,"Cultivo de outros cereais não especificados anteriormente",4,11,12,2013-02-26 01:03:41.812647,2013-02-26 01:04:18.666728
9,01.12-1,"Cultivo de algodão herbáceo e de outras fibras de lavoura temporária",3,14,21,2013-02-26 01:03:41.820559,2013-02-26 01:04:18.711236
10,0112-1/01,"Cultivo de algodão herbáceo",9,15,16,2013-02-26 01:03:41.828485,2013-02-26 01:04:18.689712
11,0112-1/02,"Cultivo de juta",9,17,18,2013-02-26 01:03:41.831876,2013-02-26 01:04:18.696439
12,0112-1/99,"Cultivo de outras fibras de lavoura temporária não especificadas anteriormente",9,19,20,2013-02-26 01:03:41.835619,2013-02-26 01:04:18.701425
13,01.13-0,"Cultivo de cana-de-açúcar",3,22,25,2013-02-26 01:03:41.839492,2013-02-26 01:04:18.735518
14,0113-0/00,"Cultivo de cana-de-açúcar",13,23,24,2013-02-26 01:03:41.84309,2013-02-26 01:04:18.726623
15,01.14-8,"Cultivo de fumo",3,26,29,2013-02-26 01:03:41.847329,2013-02-26 01:04:18.750798
16,0114-8/00,"Cultivo de fumo",15,27,28,2013-02-26 01:03:41.851074,2013-02-26 01:04:18.746841
17,01.15-6,"Cultivo de soja",3,30,33,2013-02-26 01:03:41.855153,2013-02-26 01:04:18.776064
18,0115-6/00,"Cultivo de soja",17,31,32,2013-02-26 01:03:41.858948,2013-02-26 01:04:18.771304
19,01.16-4,"Cultivo de oleaginosas de lavoura temporária, exceto soja",3,34,43,2013-02-26 01:03:41.86503,2013-02-26 01:04:18.839689
20,0116-4/01,"Cultivo de amendoim",19,35,36,2013-02-26 01:03:41.868499,2013-02-26 01:04:18.816106
21,0116-4/02,"Cultivo de girassol",19,37,38,2013-02-26 01:03:41.874473,2013-02-26 01:04:18.821669
22,0116-4/03,"Cultivo de mamona",19,39,40,2013-02-26 01:03:41.878162,2013-02-26 01:04:18.828532
23,0116-4/99,"Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente",19,41,42,2013-02-26 01:03:41.881623,2013-02-26 01:04:18.836788
24,01.19-9,"Cultivo de plantas de lavoura temporária não especificadas anteriormente",3,44,65,2013-02-26 01:03:41.885461,2013-02-26 01:04:18.953785
25,0119-9/01,"Cultivo de abacaxi",24,45,46,2013-02-26 01:03:41.889087,2013-02-26 01:04:18.858287
26,0119-9/02,"Cultivo de alho",24,47,48,2013-02-26 01:03:41.893142,2013-02-26 01:04:18.871198
27,0119-9/03,"Cultivo de batata-inglesa",24,49,50,2013-02-26 01:03:41.897271,2013-02-26 01:04:18.876783
28,0119-9/04,"Cultivo de cebola",24,51,52,2013-02-26 01:03:41.900457,2013-02-26 01:04:18.885973
29,0119-9/05,"Cultivo de feijão",24,53,54,2013-02-26 01:03:41.904149,2013-02-26 01:04:18.897962
30,0119-9/06,"Cultivo de mandioca",24,55,56,2013-02-26 01:03:41.908206,2013-02-26 01:04:18.905704
31,0119-9/07,"Cultivo de melão",24,57,58,2013-02-26 01:03:41.914445,2013-02-26 01:04:18.913615
32,0119-9/08,"Cultivo de melancia",24,59,60,2013-02-26 01:03:41.917869,2013-02-26 01:04:18.92486
33,0119-9/09,"Cultivo de tomate rasteiro",24,61,62,2013-02-26 01:03:41.923662,2013-02-26 01:04:18.937257
34,0119-9/99,"Cultivo de outras plantas de lavoura temporária não especificadas anteriormente",24,63,64,2013-02-26 01:03:41.9303,2013-02-26 01:04:18.949927
35,01.2,"Horticultura e floricultura",2,67,78,2013-02-26 01:03:41.935964,2013-02-26 01:04:19.018439
36,01.21-1,"Horticultura",35,68,73,2013-02-26 01:03:41.939206,2013-02-26 01:04:18.992624
37,0121-1/01,"Horticultura, exceto morango",36,69,70,2013-02-26 01:03:41.946381,2013-02-26 01:04:18.976387
38,0121-1/02,"Cultivo de morango",36,71,72,2013-02-26 01:03:41.950097,2013-02-26 01:04:18.986908
39,01.22-9,"Cultivo de flores e plantas ornamentais",35,74,77,2013-02-26 01:03:41.953849,2013-02-26 01:04:19.008302
40,0122-9/00,"Cultivo de flores e plantas ornamentais",39,75,76,2013-02-26 01:03:41.957168,2013-02-26 01:04:18.998775
41,01.3,"Produção de lavouras permanentes",2,79,138,2013-02-26 01:03:41.960309,2013-02-26 01:04:19.275016
42,01.31-8,"Cultivo de laranja",41,80,83,2013-02-26 01:03:41.964837,2013-02-26 01:04:19.04105
43,0131-8/00,"Cultivo de laranja",42,81,82,2013-02-26 01:03:41.968847,2013-02-26 01:04:19.032099
44,01.32-6,"Cultivo de uva",41,84,87,2013-02-26 01:03:41.972129,2013-02-26 01:04:19.059364
45,0132-6/00,"Cultivo de uva",44,85,86,2013-02-26 01:03:41.975657,2013-02-26 01:04:19.055951
46,01.33-4,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",41,88,113,2013-02-26 01:03:41.978971,2013-02-26 01:04:19.170829
47,0133-4/01,"Cultivo de açaí",46,89,90,2013-02-26 01:03:41.98286,2013-02-26 01:04:19.07308
48,0133-4/02,"Cultivo de banana",46,91,92,2013-02-26 01:03:41.987172,2013-02-26 01:04:19.078024
49,0133-4/03,"Cultivo de caju",46,93,94,2013-02-26 01:03:41.990267,2013-02-26 01:04:19.085863
50,0133-4/04,"Cultivo de cítricos, exceto laranja",46,95,96,2013-02-26 01:03:41.99392,2013-02-26 01:04:19.092953
51,0133-4/05,"Cultivo de coco-da-baía",46,97,98,2013-02-26 01:03:41.998169,2013-02-26 01:04:19.099022
52,0133-4/06,"Cultivo de guaraná",46,99,100,2013-02-26 01:03:42.001558,2013-02-26 01:04:19.117299
53,0133-4/07,"Cultivo de maçã",46,101,102,2013-02-26 01:03:42.005558,2013-02-26 01:04:19.127246
54,0133-4/08,"Cultivo de mamão",46,103,104,2013-02-26 01:03:42.009516,2013-02-26 01:04:19.133752
55,0133-4/09,"Cultivo de maracujá",46,105,106,2013-02-26 01:03:42.013123,2013-02-26 01:04:19.143311
56,0133-4/10,"Cultivo de manga",46,107,108,2013-02-26 01:03:42.017872,2013-02-26 01:04:19.147997
57,0133-4/11,"Cultivo de pêssego",46,109,110,2013-02-26 01:03:42.021349,2013-02-26 01:04:19.155046
