code;description
10;TRANSFERÊNCIAS INTRAGOVERNAMENTAIS
20;TRANSFERÊNCIAS À UNIÃO
30;TRANSFERÊNCIAS A ESTADOS E AO DISTRITO FEDERAL
40;TRANSFERÊNCIAS A MUNICÍPIOS
50;TRANSFERÊNCIAS A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS
60;TRANSFERÊNCIAS A INSTITUIÇÕES PRIVADAS COM FINS LUCRATIVOS
70;TRANSFERÊNCIAS A INSTITUIÇÕES MULTIGOVERNAMENTAIS
71;TRANSFERÊNCIAS A CONSÓRCIOS PÚBLICOS
80;TRANSFERÊNCIAS AO EXTERIOR
90;APLICAÇÕES DIRETAS
91;APLICAÇÃO DIRETA DECORRENTE DE OPERAÇÕES ENTRE ÓRGÃOS, FUNDOS E ENTIDADES INTEGRANTES DOS ORÇAMENTOS FISCAL E DA SEGURIDADE SOCIAL
99;RESERVA DE CONTINGÊNCIA
22;EXECUÇÃO ORÇAMENTÁRIA DELEGADA A UNIÃO
31;TRANSFERÊNCIA A ESTADOS E AO DISTRITO FEDERAL - FUNDO A FUNDO
32;EXECUÇÃO ORÇAMENTÁRIA DELEGADA A ESTADOS E AO DISTRITO FEDERAL
42;EXECUÇÃO ORÇAMENTÁRIA DELEGADA A MUNICÍPIOS
72;EXECUÇÃO ORÇAMENTÁRIA DELEGADA A CONSÓRCIOS PÚBLICOS
41;TRANSFERÊNCIAS A MUNICÍPIOS FUNDO A FUNDO
