code;description;kind;docket;status;;;;;;;;;;;;;;;;;;;;;;;;;;
30000000;DESPESAS CORRENTES;S;REPRESENTA O SOMATÓRIO DOS VALORES DAS DESPESAS REALIZADAS COM PESSOAL E ENCARGOS SOCIAIS,JUROS E ENCARGOS DA DIVIDA INTERNA E EXTERNA E OUTRAS DESPESAS CORRENTES, QUE NÃO CONTRIBUEM, DIRETAMENTE, PARA A FORMAÇÃO OU AQUISIÇÃO DE UM BEM DE CAPITAL.;;;;;;;;;;;;;;;;;;;;;;;;;;;
31000000;PESSOAL E ENCARGOS SOCIAIS;S;REPRESENTA O SOMATÓRIO DOS VALORES DAS DESPESAS DE NATUREZA  REMUNERATÓRIA DECORRENTES DO EFETIVO EXERCÍCIO DE CARGO, EMPREGO OU FUNÇÃO DE CONFIANÇA NO SETOR PÚBLICO, DO PAGAMENTO DOS PROVENTOS DE APOSENTADORIAS, REFORMAS, PENSÕES, DAS OBRIGAÇÕES TRABALHISTAS DE RESPONSABILIDADE DO EMPREGADOR, INCIDENTES SOBRE A FOLHA DE SALÁRIOS, CONTRIBUIÇÕES A ENTIDADES FECHADAS DE PREVIDÊNCIA, OUTROS BENEFÍCIOS ASSISTENCIAIS CLASSIFICÁVEIS NESTE GRUPO DE DESPESA, BEM COMO SOLDO, GRATIFICAÇÕES, ADICIONAIS E OUTROS DIREITOS REMUNERATÓRIOS, PERTINENTES A ESTE GRUPO DE DESPESA, E AINDA, DESPESAS COM O RESSARCIMENTO DE PESSOAL REQUISITADO, DESPESAS COM A CONTRATAÇÃO TEMPORÁRIA PARA ATENDER A NECESSIDADE DE EXCEPCIONAL INTERESSE PÚBLICO E DESPESAS COM CONTRATOS DE TERCEIRIZAÇÃO DE MÃO-DE-OBRA QUE SE REFIRAM À SUBSTITUIÇÃO DE SERVIDORES E EMPREGADOS PÚBLICOS, EM ATENDIMENTO AO DISPOSTO NO ART.18 § 1°, DA LEI COMPLEMENTAR N° 101, DE 2000.;;;;;;;;;;;;;;;;;;;;;;;;;;;
31200000;TRANSFERÊNCIAS À UNIÃO;S;REPRESENTA O SOMATÓRIO DOS VALORES DAS TRANSFERÊNCIAS EFETUADAS À UNIÃO  PARA REALIZAÇÕES DE DESPESAS COM PESSOAL E  ENCARGOS SOCIAIS.;;;;;;;;;;;;;;;;;;;;;;;;;;;
31200100;APOSENTADORIAS E REFORMAS;A;REGISTRA O  VALOR DAS TRANSFERÊNCIAS EFETUADAS À UNIÃO  PARA REALIZAÇÕES DE DESPESAS COM PAGAMENTOS DE INATIVOS CIVIS E SEGURADOS DO PLANO DE BENEFÍCIOS DA PREVIDÊNCIA SOCIAL;;;;;;;;;;;;;;;;;;;;;;;;;;;
31200300;PENSÕES;A;REGISTRA O  VALOR DAS TRANSFERÊNCIAS EFETUADAS À UNIÃO  PARA REALIZAÇÕES DE DESPESAS COM PENSIONISTAS CIVIS; PENSIONISTAS DO PLANO DE BENEFÍCIOS DA PREVIDÊNCIA SOCIAL; PENSÕES CONCEDIDAS POR LEI ESPECÍFICA OU POR SENTENÇAS JUDICIAIS;;;;;;;;;;;;;;;;;;;;;;;;;
31200400;CONTRATAÇÃO POR TEMPO DETERMINADO;A;REGISTRA O  VALOR DAS TRANSFERÊNCIAS EFETUADAS À UNIÃO  PARA REALIZAÇÕES DE DESPESAS COM A CONTRATAÇÃO DE PESSOAL POR TEMPO DETERMINADO PARA ATENDER A NECESSIDADE TEMPORÁRIA DE EXCEPCIONAL INTERESSE PÚBLICO, DE ACORDO COM LEGISLAÇÃO ESPECÍFICA DE CADA ENTE DA FEDERAÇÃO, INCLUSIVE OBRIGAÇÕES PATRONAIS E OUTRAS DESPESAS VARIÁVEIS, QUANDO FOR O CASO ;;;;;;;;;;;;;;;;;;;;;;;;;;;
31200500;OUTROS BENEFÍCIOS PREVIDENCIÁRIOS;A;REGISTRA O  VALOR DAS TRANSFERÊNCIAS EFETUADAS À UNIÃO  PARA REALIZAÇÕES DE DESPESAS COM OUTROS BENEFÍCIOS DO SISTEMA PREVIDENCIÁRIO EXCLUSIVE APOSENTADORIAS, REFORMAS E PENSÕES.;;;;;;;;;;;;;;;;;;;;;;;;;;;
31200700;CONTRIBUIÇÃO A ENTIDADES FECHADAS DE PREVIDÊNCIA;A;REGISTRA O  VALOR DAS TRANSFERÊNCIAS EFETUADAS À UNIÃO  PARA REALIZAÇÕES DE DESPESAS COM ENCARGOS DA ENTIDADE PATROCINADORA NO REGIME DE PREVIDÊNCIA FECHADA, PARA COMPLEMENTAÇÃO DE APOSENTADORIA.;;;;;;;;;;;;;;;;;;;;;;;;;;;
31200800;OUTROS BENEFÍCIOS ASSISTENCIAIS;A;REGISTRA O  VALOR DAS TRANSFERÊNCIAS EFETUADAS À UNIÃO  PARA REALIZAÇÕES DE DESPESAS COM AUXÍLIO-FUNERAL DEVIDO À FAMÍLIA DO SERVIDOR FELECIDO NA ATIVIDADE, OU APOSENTADO,  OU A TERCEIRO QUE CUSTEAR, COMPROVADAMENTE, AS DESPESAS COM O FUNERAL DO EX-SERVIDOR; AUXÍLIO-RECLUSÃO DEVIDO À FAMÍLIA DO SERVIDOR AFASTADO POR MOTIVO DE PRISÃO; AUXÍLIO-NATALIDADE DEVIDO À SERVIDORA, CÔNJUGE OU COMPANHEIRO SERVIDOR PÚBLICO POR MOTIVO DE NASCIMENTO DE FILHO; AUXÍLIO0CRECHE OU ASSISTÊNCIA PRÉ-ESCOLARE AUXÍLIO INVALIDEZ PAGOS DIRETAMENTE AO SERVIDOR;;;;;;;;;;;;;;;;;;;;;;;;
31200900;SALÁRIO-FAMÍLIA ;A;REGISTRA O  VALOR DAS TRANSFERÊNCIAS EFETUADAS À UNIÃO  PARA REALIZAÇÕES DE DESPESAS COM BENEFÍCIO PECUNIÁRIO DEVIDO AOS DEPENDENTES ECONÔMICOS DO SERVIDOR, EXCLUSIVE OS REGIDOS PELA CONSOLIDAÇÃO DAS LEIS DO TRABALHO - CLT, OS QUAIS SÃO PAGOS À CONTA DO PLANO DE BENEFÍCIOS DA PREVIDÊNCIA SOCIAL;;;;;;;;;;;;;;;;;;;;;;;;;;;
31201100;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL;A;REGISTRA O  VALOR DAS TRANSFERÊNCIAS EFETUADAS À UNIÃO  PARA REALIZAÇÕES DE DESPESAS COM VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL;;;;;;;;;;;;;;;;;;;;;;;;;;;
31201300;OBRIGAÇÕES PATRONAIS;A;REGISTRA O  VALOR DAS TRANSFERÊNCIAS EFETUADAS À UNIÃO  PARA REALIZAÇÕES DE DESPESAS COM ENCARGOS QUE A ADMINISTRAÇÃO TEM PELA SUA CONDIÇÃO DE EMPREDADORA, E RESULTANTES DE FUNDO DE GARANTIA POR TEMPO DE SERVIÇO E CONTRIBUIÇÕES PARA INSTITUTOS DE PREVIDÊNCIA;;;;;;;;;;;;;;;;;;;;;;;;;;;
