masked_number;description;mask;imported
01.00.00.000.000;MATERIAL DE CONSUMO;99.99.99.999.999;true
01.01.00.000.000;COMBUSTÍVEIS E LUBRIFICANTES AUTOMOTIVOS;99.99.99.999.999;true
01.02.00.000.000;COMBUSTÍVEIS E LUBRIFICANTES DE AVIAÇÃO;99.99.99.999.999;true
01.03.00.000.000;COMBUSTÍVEIS E LUBRIFICANTES PARA OUTRAS FINALIDADES;99.99.99.999.999;true
01.04.00.000.000;GÁS ENGARRAFADO;99.99.99.999.999;true
01.05.00.000.000;EXPLOSIVOS E MUNIÇÕES;99.99.99.999.999;true
01.06.00.000.000;ALIMENTOS PARA ANIMAIS;99.99.99.999.999;true
01.07.00.000.000;GÊNEROS DE ALIMENTAÇÃO;99.99.99.999.999;true
01.08.00.000.000;ANIMAIS PARA PESQUISA E ABATE;99.99.99.999.999;true
01.09.00.000.000;MATERIAL FARMACOLÓGICO;99.99.99.999.999;true
01.10.00.000.000;MATERIAL ODONTOLÓGICO;99.99.99.999.999;true
01.11.00.000.000;MATERIAL QUÍMICO;99.99.99.999.999;true
01.12.00.000.000;MATERIAL DE COUDELARIA OU DE USO ZOOTÉCNICO;99.99.99.999.999;true
01.13.00.000.000;MATERIAL DE CAÇA E PESCA;99.99.99.999.999;true
01.14.00.000.000;MATERIAL EDUCATIVO E ESPORTIVO;99.99.99.999.999;true
01.15.00.000.000;MATERIAL PARA FESTIVIDADES E HOMENAGENS;99.99.99.999.999;true
01.16.00.000.000;MATERIAL DE EXPEDIENTE;99.99.99.999.999;true
01.17.00.000.000;MATERIAL DE PROCESSAMENTO DE DADOS;99.99.99.999.999;true
01.18.00.000.000;MATERIAIS E MEDICAMENTOS PARA USO VETERINÁRIO;99.99.99.999.999;true
01.19.00.000.000;MATERIAL DE A CONDICIONAMENTO E EMBALAGEM;99.99.99.999.999;true
01.20.00.000.000;MATERIAL DE CAMA, MESA E BANHO;99.99.99.999.999;true
01.21.00.000.000;MATERIAL DE COPA E COZINHA;99.99.99.999.999;true
01.22.00.000.000;MATERIAL DE LIMPEZA E PRODUÇÃO DE HIGIENIZAÇÃO;99.99.99.999.999;true
01.23.00.000.000;UNIFORMES, TECIDOS E AVIAMENTOS;99.99.99.999.999;true
01.24.00.000.000;MATERIAL PARAMANUTENÇÃO DEBENS IMÓVEIS;99.99.99.999.999;true
01.25.00.000.000;MATERIAL PARA MANUTENÇÃO DE BENS MÓVEIS;99.99.99.999.999;true
01.26.00.000.000;MATERIAL ELÉTRICO E ELETRÔNICO;99.99.99.999.999;true
01.27.00.000.000;MATERIAL DE MANOBRA E PATRULHAMENTO;99.99.99.999.999;true
01.28.00.000.000;MATERIAL DEPROTEÇÃO E SEGURANÇA;99.99.99.999.999;true
01.29.00.000.000;MATERIAL PARA ÁUDIO, VÍDEO E FOTO;99.99.99.999.999;true
01.30.00.000.000;MATERIAL PARA COMUNICAÇÕES;99.99.99.999.999;true
01.31.00.000.000;SEMENTES, MUDAS DE PLANTAS E INSUMOS;99.99.99.999.999;true
01.32.00.000.000;SUPRIMENTO DE AVIAÇÃO;99.99.99.999.999;true
01.33.00.000.000;MATERIAL PARA PRODUÇÃO INDUSTRIAL;99.99.99.999.999;true
01.34.00.000.000;SOBRESSALENTES, MÁQUINAS E MOTORES DE NAVIOS E EMBARCACÕES;99.99.99.999.999;true
01.35.00.000.000;MATERIAL LABORATORIAL;99.99.99.999.999;true
01.36.00.000.000;MATERIAL HOSPITALAR;99.99.99.999.999;true
01.37.00.000.000;SOBRESSALENTES DEARMAMENTO;99.99.99.999.999;true
01.38.00.000.000;SUPRIMENTO DEPROTEÇÃO AO VÔO;99.99.99.999.999;true
01.39.00.000.000;MATERIAL PARA MANUTENÇÃO DE VEÍCULOS;99.99.99.999.999;true
01.40.00.000.000;MATERIAL BIOLÓGICO;99.99.99.999.999;true
01.41.00.000.000;MATERIAL PARA UTILIZAÇÃO EM GRÁFICA;99.99.99.999.999;true
01.42.00.000.000;FERRAMENTAS;99.99.99.999.999;true
01.43.00.000.000;MATERIAL PARA REABILITAÇÃO PROFISSIONAL;99.99.99.999.999;true
01.44.00.000.000;MATERIAL DE SINALIZAÇÃO VISUAL E AFINS;99.99.99.999.999;true
01.45.00.000.000;MATERIAL TÉCNICO PARA SELEÇÃO E TREINAMENTO;99.99.99.999.999;true
01.46.00.000.000;MATERIAL BIBLIOGRÁFICO NÃO IMOBILIZÁVEL;99.99.99.999.999;true
01.47.00.000.000;AQUISIÇÃO DE SOFTWARES DE BASE;99.99.99.999.999;true
01.48.00.000.000;BENS MÓVEIS NÃO ATIVÁVEIS;99.99.99.999.999;true
01.49.00.000.000;BILHETES DE PASSAGEM;99.99.99.999.999;true
01.50.00.000.000;BANDEIRAS, FLÂMULAS E INSÍGNIAS;99.99.99.999.999;true
01.96.00.000.000;MATERIAL DECONSUMO – PAGTO ANTECIPADO;99.99.99.999.999;true
01.99.00.000.000;OUTROS MATERIAIS DE CONSUMO;99.99.99.999.999;true
02.00.00.000.000;OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA;99.99.99.999.999;true
02.01.00.000.000;CONDOMÍNIOS;99.99.99.999.999;true
02.02.00.000.000;DIÁRIAS A COLABORADORES EVENTUAIS NO PAÍS;99.99.99.999.999;true
02.03.00.000.000;DIÁRIAS A COLABORADORES EVENTUAIS NOEXTERIOR;99.99.99.999.999;true
02.04.00.000.000;COMISSÕES E CORRETAGENS;99.99.99.999.999;true
02.05.00.000.000;DIREITOS AUTORAIS;99.99.99.999.999;true
02.06.00.000.000;SERVIÇOS TÉCNICOS;99.99.99.999.999;true
02.07.00.000.000;ESTAGIÁRIOS;99.99.99.999.999;true
02.08.00.000.000;BOLSA DE INICIAÇÃOAO TRABALHO;99.99.99.999.999;true
02.09.00.000.000;SALÁRIOS DE INTERNOS EM PENITENCIÁRIAS;99.99.99.999.999;true
02.11.00.000.000;PRÓ-LABORE A CONSULTORES EVENTUAIS;99.99.99.999.999;true
02.12.00.000.000;CAPATAZIA, ESTIVA E PESAGEM;99.99.99.999.999;true
02.13.00.000.000;CONFERÊNCIAS E EXPOSIÇÕES;99.99.99.999.999;true
02.14.00.000.000;ARMAZENAGEM;99.99.99.999.999;true
02.15.00.000.000;LOCAÇÃO DE IMÓVEIS;99.99.99.999.999;true
02.16.00.000.000;LOCAÇÃO DE BENS MÓVEIS E INTANGÍVEIS;99.99.99.999.999;true
02.18.00.000.000;MANUTENÇÃO E CONSERVAÇÃO DE EQUIPAMENTOS;99.99.99.999.999;true
02.20.00.000.000;MANUTENÇÃO E CONSERVAÇÃO DE VEÍCULOS;99.99.99.999.999;true
02.21.00.000.000;MANUTENÇÃO E CONSERVAÇÃO DE BENS MÓVEIS DE OUTRAS NATUREZAS;99.99.99.999.999;true
02.22.00.000.000;MANUTENÇÃO E CONSERVAÇÃO DE BENS IMÓVEIS;99.99.99.999.999;true
02.23.00.000.000;FORNECIMENTO DE ALIMENTAÇÃO;99.99.99.999.999;true
02.24.00.000.000;SERVIÇOS DE CARÁTER SECRETO OU RESERVADO;99.99.99.999.999;true
02.25.00.000.000;SERVIÇOS DE LIMPEZA E CONSERVAÇÃO;99.99.99.999.999;true
02.26.00.000.000;SERVIÇOS DOMÉSTICOS;99.99.99.999.999;true
02.27.00.000.000;SERVIÇOS DE COMUNICAÇÃO EM GERAL;99.99.99.999.999;true
02.28.00.000.000;SERVIÇO DE SELEÇÃO E TREINAMENTO;99.99.99.999.999;true
02.30.00.000.000;SERVIÇOS MÉDICOS E ODONTOLÓGICOS;99.99.99.999.999;true
02.31.00.000.000;SERVIÇOS DE REABILITAÇÃO PROFISSIONAL;99.99.99.999.999;true
02.32.00.000.000;SERVIÇOS DE ASSISTÊNCIA SOCIAL;99.99.99.999.999;true
02.34.00.000.000;SERVIÇOS DE PERÍCIAS MÉDICAS POR BENEFÍCIOS;99.99.99.999.999;true
02.35.00.000.000;SERVIÇO DE APOIO ADMINISTRATIVO, TÉCNICO E OPERACIONAL;99.99.99.999.999;true
