class_number;description;mask;imported
010000000000;MATERIAL DE CONSUMO;99.99.99.999.999;true
010100000000;COMBUSTÍVEIS E LUBRIFICANTES AUTOMOTIVOS;99.99.99.999.999;true
010200000000;COMBUSTÍVEIS E LUBRIFICANTES DE AVIAÇÃO;99.99.99.999.999;true
010300000000;COMBUSTÍVEIS E LUBRIFICANTES PARA OUTRAS FINALIDADES;99.99.99.999.999;true
010400000000;GÁS ENGARRAFADO;99.99.99.999.999;true
010500000000;EXPLOSIVOS E MUNIÇÕES;99.99.99.999.999;true
010600000000;ALIMENTOS PARA ANIMAIS;99.99.99.999.999;true
010700000000;GÊNEROS DE ALIMENTAÇÃO;99.99.99.999.999;true
010800000000;ANIMAIS PARA PESQUISA E ABATE;99.99.99.999.999;true
010900000000;MATERIAL FARMACOLÓGICO;99.99.99.999.999;true
011000000000;MATERIAL ODONTOLÓGICO;99.99.99.999.999;true
011100000000;MATERIAL QUÍMICO;99.99.99.999.999;true
011200000000;MATERIAL DE COUDELARIA OU DE USO ZOOTÉCNICO;99.99.99.999.999;true
011300000000;MATERIAL DE CAÇA E PESCA;99.99.99.999.999;true
011400000000;MATERIAL EDUCATIVO E ESPORTIVO;99.99.99.999.999;true
011500000000;MATERIAL PARA FESTIVIDADES E HOMENAGENS;99.99.99.999.999;true
011600000000;MATERIAL DE EXPEDIENTE;99.99.99.999.999;true
011700000000;MATERIAL DE PROCESSAMENTO DE DADOS;99.99.99.999.999;true
011800000000;MATERIAIS E MEDICAMENTOS PARA USO VETERINÁRIO;99.99.99.999.999;true
011900000000;MATERIAL DE A CONDICIONAMENTO E EMBALAGEM;99.99.99.999.999;true
012000000000;MATERIAL DE CAMA, MESA E BANHO;99.99.99.999.999;true
012100000000;MATERIAL DE COPA E COZINHA;99.99.99.999.999;true
012200000000;MATERIAL DE LIMPEZA E PRODUÇÃO DE HIGIENIZAÇÃO;99.99.99.999.999;true
012300000000;UNIFORMES, TECIDOS E AVIAMENTOS;99.99.99.999.999;true
012400000000;MATERIAL PARAMANUTENÇÃO DEBENS IMÓVEIS;99.99.99.999.999;true
012500000000;MATERIAL PARA MANUTENÇÃO DE BENS MÓVEIS;99.99.99.999.999;true
012600000000;MATERIAL ELÉTRICO E ELETRÔNICO;99.99.99.999.999;true
012700000000;MATERIAL DE MANOBRA E PATRULHAMENTO;99.99.99.999.999;true
012800000000;MATERIAL DEPROTEÇÃO E SEGURANÇA;99.99.99.999.999;true
012900000000;MATERIAL PARA ÁUDIO, VÍDEO E FOTO;99.99.99.999.999;true
013000000000;MATERIAL PARA COMUNICAÇÕES;99.99.99.999.999;true
013100000000;SEMENTES, MUDAS DE PLANTAS E INSUMOS;99.99.99.999.999;true
013200000000;SUPRIMENTO DE AVIAÇÃO;99.99.99.999.999;true
013300000000;MATERIAL PARA PRODUÇÃO INDUSTRIAL;99.99.99.999.999;true
013400000000;SOBRESSALENTES, MÁQUINAS E MOTORES DE NAVIOS E EMBARCACÕES;99.99.99.999.999;true
013500000000;MATERIAL LABORATORIAL;99.99.99.999.999;true
013600000000;MATERIAL HOSPITALAR;99.99.99.999.999;true
013700000000;SOBRESSALENTES DEARMAMENTO;99.99.99.999.999;true
013800000000;SUPRIMENTO DEPROTEÇÃO AO VÔO;99.99.99.999.999;true
013900000000;MATERIAL PARA MANUTENÇÃO DE VEÍCULOS;99.99.99.999.999;true
014000000000;MATERIAL BIOLÓGICO;99.99.99.999.999;true
014100000000;MATERIAL PARA UTILIZAÇÃO EM GRÁFICA;99.99.99.999.999;true
014200000000;FERRAMENTAS;99.99.99.999.999;true
014300000000;MATERIAL PARA REABILITAÇÃO PROFISSIONAL;99.99.99.999.999;true
014400000000;MATERIAL DE SINALIZAÇÃO VISUAL E AFINS;99.99.99.999.999;true
014500000000;MATERIAL TÉCNICO PARA SELEÇÃO E TREINAMENTO;99.99.99.999.999;true
014600000000;MATERIAL BIBLIOGRÁFICO NÃO IMOBILIZÁVEL;99.99.99.999.999;true
014700000000;AQUISIÇÃO DE SOFTWARES DE BASE;99.99.99.999.999;true
014800000000;BENS MÓVEIS NÃO ATIVÁVEIS;99.99.99.999.999;true
014900000000;BILHETES DE PASSAGEM;99.99.99.999.999;true
015000000000;BANDEIRAS, FLÂMULAS E INSÍGNIAS;99.99.99.999.999;true
019600000000;MATERIAL DECONSUMO – PAGTO ANTECIPADO;99.99.99.999.999;true
019900000000;OUTROS MATERIAIS DE CONSUMO;99.99.99.999.999;true
020000000000;OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA;99.99.99.999.999;true
020100000000;CONDOMÍNIOS;99.99.99.999.999;true
020200000000;DIÁRIAS A COLABORADORES EVENTUAIS NO PAÍS;99.99.99.999.999;true
020300000000;DIÁRIAS A COLABORADORES EVENTUAIS NOEXTERIOR;99.99.99.999.999;true
020400000000;COMISSÕES E CORRETAGENS;99.99.99.999.999;true
020500000000;DIREITOS AUTORAIS;99.99.99.999.999;true
020600000000;SERVIÇOS TÉCNICOS;99.99.99.999.999;true
020700000000;ESTAGIÁRIOS;99.99.99.999.999;true
020800000000;BOLSA DE INICIAÇÃOAO TRABALHO;99.99.99.999.999;true
020900000000;SALÁRIOS DE INTERNOS EM PENITENCIÁRIAS;99.99.99.999.999;true
021100000000;PRÓ-LABORE A CONSULTORES EVENTUAIS;99.99.99.999.999;true
021200000000;CAPATAZIA, ESTIVA E PESAGEM;99.99.99.999.999;true
021300000000;CONFERÊNCIAS E EXPOSIÇÕES;99.99.99.999.999;true
021400000000;ARMAZENAGEM;99.99.99.999.999;true
021500000000;LOCAÇÃO DE IMÓVEIS;99.99.99.999.999;true
021600000000;LOCAÇÃO DE BENS MÓVEIS E INTANGÍVEIS;99.99.99.999.999;true
021800000000;MANUTENÇÃO E CONSERVAÇÃO DE EQUIPAMENTOS;99.99.99.999.999;true
022000000000;MANUTENÇÃO E CONSERVAÇÃO DE VEÍCULOS;99.99.99.999.999;true
022100000000;MANUTENÇÃO E CONSERVAÇÃO DE BENS MÓVEIS DE OUTRAS NATUREZAS;99.99.99.999.999;true
022200000000;MANUTENÇÃO E CONSERVAÇÃO DE BENS IMÓVEIS;99.99.99.999.999;true
022300000000;FORNECIMENTO DE ALIMENTAÇÃO;99.99.99.999.999;true
022400000000;SERVIÇOS DE CARÁTER SECRETO OU RESERVADO;99.99.99.999.999;true
022500000000;SERVIÇOS DE LIMPEZA E CONSERVAÇÃO;99.99.99.999.999;true
022600000000;SERVIÇOS DOMÉSTICOS;99.99.99.999.999;true
022700000000;SERVIÇOS DE COMUNICAÇÃO EM GERAL;99.99.99.999.999;true
022800000000;SERVIÇO DE SELEÇÃO E TREINAMENTO;99.99.99.999.999;true
023000000000;SERVIÇOS MÉDICOS E ODONTOLÓGICOS;99.99.99.999.999;true
023100000000;SERVIÇOS DE REABILITAÇÃO PROFISSIONAL;99.99.99.999.999;true
023200000000;SERVIÇOS DE ASSISTÊNCIA SOCIAL;99.99.99.999.999;true
023400000000;SERVIÇOS DE PERÍCIAS MÉDICAS POR BENEFÍCIOS;99.99.99.999.999;true
023500000000;SERVIÇO DE APOIO ADMINISTRATIVO, TÉCNICO E OPERACIONAL;99.99.99.999.999;true
023600000000;SERVIÇO DE CONSERVAÇÃO E REBENEFICIAMENTO DE MERCADORIAS;99.99.99.999.999;true
023700000000;CONFECÇÃO DE MATERIAL DE ACONDICIONAMENTO E EMBALAGEM;99.99.99.999.999;true
023800000000;CONFECÇÃO DE UNIFORMES, BANDEIRAS E FLÂMULAS;99.99.99.999.999;true
023900000000;FRETES E TRANSPORTES DE ENCOMENDAS;99.99.99.999.999;true
024000000000;ENCARGOS FINANCEIROS DEDUTÍVEIS;99.99.99.999.999;true
024100000000;MULTAS DE DUTÍVEIS;99.99.99.999.999;true
024200000000;JUROS;99.99.99.999.999;true
024300000000;ENCARGOS FINANCEIROS INDEDUTÍVEIS;99.99.99.999.999;true
024400000000;MULTAS INDEDUTÍVEIS;99.99.99.999.999;true
024500000000;JETONS A CONSELHEIROS;99.99.99.999.999;true
