code;specification;kind;docket;status;;;
10000000;RECEITAS CORRENTES;S;REPRESENTA O SOMATÓRIO DOS VALORES DA ARRECADAÇÃO DAS RECEITAS TRIBUTÁRIA, DE CONTRIBUIÇÕES, PATRIMONIAL, AGROPECUÁRIA, INDUSTRIAL, DE SERVIÇOS, AS  TRANSFERÊNCIAS CORRENTES E OUTRAS RECEITAS CORRENTES.;A;;;
11000000;RECEITA TRIBUTÁRIA;S;REPRESENTA O SOMATÓRIO DOS VALORES DA ARRECADAÇÃO DA RECEITA TRIBUTÁRIA (IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA;A;;;
11100000;IMPOSTOS;S;REPRESENTA O SOMATÓRIO DOS VALORES DA ARRECADAÇÃO DOS VALORES TOTAIS  DA MODALIDADE DE TRIBUTO CUJA OBRIGAÇÃO TEM POR FATO GERADOR SITUAÇÃO INDEPENDENTE DE QUALQUER ATIVIDADE ESTATAL ESPECÍFICA, RELATIVA AO CONTRIBUINTE.;A;;;
11120000;IMPOSTOS SOBRE O PATRIMÔNIO E A RENDA;S;REPRESENTA O SOMATÓRIO DOS VALORES  DA ARRECADAÇÃO DE IMPOSTOS SOBRE A  PROPRIEDADE TERRITORIAL  PREDIAL E  URBANA, A RENDA PROVENTOS DE QUALQUER NATUREZA, TRANSMISSÃO DE BENS INTER -  VIVOS.;A;;;
11120200;IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA;A;REGISTRA O VALOR  DA ARRECADAÇÃO DA RECEITA DE IMPOSTO SOBRE A   PROPRIEDADE PREDIAL E URBANA, DE COMPETÊNCIA DOS MUNICÍPIOS. TEM  COMO FATO GERADOR A PROPRIEDADE, O DOMÍNIO ÚTIL OU A POSSE DE BEM IMÓVEL POR NATUREZA OU POR ACESSÃO FÍSICA;A;;;
11120400;IMPOSTO SOBRE A RENDA E PROVENTOS DE QUALQUER NATUREZA;S;REPRESENTA O SOMATÓRIO  DOS VALORES DA ARRECADAÇÃO DE IMPOSTO SOBRE A RENDA  E  PROVENTOS DE QUALQUER NATUREZA.;A;;;
11120431;RETIDO NAS FONTES - TRABALHO;A;REGISTRA O VALOR  DA  ARRECADAÇÃO  DA RECEITA DO IMPOSTO DE RENDA SOBRE PAGAMENTO DE SALÁRIOS, INCLUSIVE ADIANTAMENTO DE SALÁRIO A QUALQUER TÍTULO, INDENIZAÇÕES SUJEITAS A TRIBUTAÇÃO, ORDENADOS, VENCIMENTOS,  PROVENTOS DE APOSENTADORIA, PENSÕES CIVIS, PRÓ-LABORE, REMUNERAÇÃO INDIRETA, RETIRADA, VANTAGENS, SUBSÍDIOS, COMISSÕES, CORRETAGENS, BENEFÍCIO DA PREVIDÊNCIA SOCIAL E PRIVADA (RENDA MENSAL), HONORÁRIOS, DIREITOS AUTORAIS, REMUNERAÇÃO POR QUAISQUER OUTROS SERVIÇOS PRESTADOS, INCLUSIVE AS RELATIVAS A EMPREITADAS DE OBRAS  EXCLUSIVAMENTE DE TRABALHO E AS DECORRENTES DE FRETES E CARRETOS EM GERAL;A;;;
11120434;RETIDO NAS FONTES - OUTROS RENDIMENTOS;A;REGISTRA O VALOR  DA ARRECADAÇÃO DA RECEITA DO IMPOSTO SOBRE GANHOS DECORRENTES DE GANHOS E SORTEIOS EM GERAL;A;;;
11120800;IMPOSTO SOBRE A TRANSMISSÃO INTER VIVOS - BENS IMÓVEIS E DIREITOS REAIS SOBRE IMÓVEIS;A;"REGISTRA O VALOR  DA ARRECADAÇÃO DA RECEITA DE IMPOSTO SOBRE TRANSMISSÃO ""INTER-VIVOS"" DE BENS IMÓVEIS E DE DIREITOS REAIS SOBRE IMÓVEIS, DE COMPETÊNCIA MUNICIPAL.";A;;;
11130000;IMPOSTOS SOBRE A PRODUÇÃO E A CIRCULAÇÃO;S;REPRESENTA O SOMATÓRIO  DOS VALORES DA ARRECADAÇÃO DE IMPOSTOS SOBRE PRODUÇÃO E A CIRCULAÇÃO QUE COMPREENDE O IMPOSTO SOBRE SERVIÇOS - ISS.;A;;;
11130500;IMPOSTO SOBRE SERVIÇOS DE QUALQUER NATUREZA;A;REGISTRA O VALOR  DA ARRECADAÇÃO DA RECEITA  DE IMPOSTO SOBRE SERVIÇOS DE QUALQUER NATUREZA, DE COMPETÊNCIA DOS MUNICÍPIOS.;A;;;
11200000;TAXAS;S;REPRESENTA O SOMATÓRIO  DAS RECEITAS DE TAXAS COBRADAS  PELOS MUNICÍPIOS, NO ÂMBITO DE SUAS RESPECTIVAS ATRIBUIÇÕES. TEM COMO FATO GERADOR O EXERCÍCIO REGULAR DO PODER DE POLÍCIA, OU A UTILIZAÇÃO, EFETIVA OU POTENCIAL, DE SERVIÇOS PÚBLICOS ESPECÍFICOS E DIVISÍVEIS; NÃO RELACIONADOS COM MEDIÇÃO DE CONSUMO, PRESTADOS AO CONTRIBUINTE OU POSTOS A SUA DISPOSIÇÃO.;A;;
