code;description
1112;IMPOSTOS SOBRE O PATRIMÔNIO E A RENDA
1113;IMPOSTOS SOBRE A PRODUÇÃO E A CIRCULAÇÃO
1121;TAXAS PELO EXERCÍCIO DO PODER DE POLICIA
1122;TAXAS PELA PRESTAÇÃO DE SERVIÇOS
1311;ALUGUÉIS
1312;ARRENDAMENTOS
1313;FOROS
1314;LAUDÊMIOS
1315;TAXA DE OCUPAÇÃO DE IMÓVEIS
1319;OUTRAS RECEITAS IMOBILIÁRIAS
1321;JUROS DE TÍTULOS DE RENDA
1322;DIVIDENDOS
1323;PARTICIPAÇÕES
1325;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS
1326;REMUNERAÇÃO DE DEPÓSITOS ESPECIAIS
1328;REMUNERAÇÃO DOS INVESTIMENTOS DO REGIME PRÓPRIO DE PREVIDÊNCIA DO SERVIDOR
1329;OUTRAS RECEITAS DE VALORES MOBILIÁRIOS
1331;RECEITA DE CONCESSÕES E PERMISSÕES ? SERVIÇOS
1332;RECEITA DE CONCESSÕES E PERMISSÕES ? EXPLORAÇÃO DE RECURSOS NATURAIS
1333;RECEITA DE CONCESSÕES E PERMISSÕES ? DIREITOS DE USO DE BENS PÚBLICOS
1339;DEMAIS RECEITAS DE CONCESSÕES E PERMISSÕES
1721;TRANSFERÊNCIAS DA UNIÃO
1722;TRANSFERÊNCIAS DOS ESTADOS
1723;TRANSFERÊNCIAS DOS MUNICÍPIOS
1724;TRANSFERÊNCIAS MULTIGOVERNAMENTAIS
1761;TRANSFERÊNCIAS DE CONVÊNIOS DA UNIÃO E DE SUAS ENTIDADES
1762;TRANSFERÊNCIAS DOS ESTADOS  E DE SUAS ENTIDADES
1763;TRANSFERÊNCIA DE CONVÊNIOS DOS MUNICÍPIOS E SUAS ENTIDADES
1764;TRANSFERÊNCIAS DE CONVÊNIOS DE INSTITUIÇÕES PRIVADAS
1765;TRANSFERÊNCIA DE CONVÊNIOS DO EXTERIOR
1771;PROVENIENTES DO EXTERIOR
1772;PROVENIENTES DE PESSOAS JURÍDICAS
1773;PROVENIENTES DE PESSOAS FÍSICAS
1774;PROVENIENTES DE DEPÓSITOS NÃO IDENTIFICADOS
1911;MULTAS E JUROS DE MORA DOS TRIBUTOS
1912;MULTAS E JUROS DE MORA DAS CONTRIBUIÇÕES
1913;MULTAS E JUROS DE MORA DA DIVIDA ATIVA DOS TRIBUTOS
1914;MULTAS E JUROS DE MORA DA DÍVIDA ATIVA DAS CONTRIBUIÇÕES
1915;MULTAS E JUROS DE MORA DA DÍVIDA ATIVA DE OUTRAS RECEITAS
1918;MULTAS E JUROS DE MORA DE OUTRAS RECEITAS
1919;MULTAS DE OUTRAS ORIGENS
1921;INDENIZAÇÕES
1922;RESTITUIÇÕES
1931;RECEITA DA DÍVIDA ATIVA TRIBUTÁRIA
1932;RECEITA DA DÍVIDA ATIVA NÃO TRIBUTÁRIA
2111;TÍTULOS  DE RESPONSABILIDADE DO TESOURO
2114;OPERAÇÕES DE CRÉDITO INTERNAS - CONTRATUAIS
2119;OUTRAS OPERAÇÕES DE CRÉDITO INTERNAS
2122;TÍTULOS DE RESPONSABILIDADE DO TESOURO
2123;OPERAÇÕES DE CRÉDITOS EXTERNAS - CONTRATUAIS
2129;OUTRAS OPERAÇÕES DE CRÉDITO EXTERNAS
2211;ALIENAÇÃO DE TÍTULOS MOBILIÁRIOS
2212;ALIENAÇÃO DE ESTOQUES
2214;ALIENAÇÃO DE ANIMAIS REPRODUTORES E MATRIZES
2219;ALIENAÇÃO DE OUTROS BENS MÓVEIS
2222;PRODUTO DE ALIENAÇÕES
2224;ALIENAÇÃO DE IMÓVEIS RURAIS
2225;ALIENAÇÃO DE IMÓVEIS URBANOS
2229;ALIENAÇÃO DE OUTROS BENS IMÓVEIS
2421;TRANSFERÊNCIAS DA UNIÃO
2422;TRANSFERÊNCIAS DOS ESTADOS
2423;TRANSFERÊNCIAS DOS MUNICÍPIOS
2471;TRANSFERÊNCIAS DE CONVÊNIOS DA UNIÃO E DE SUAS ENTIDADES
2472;TRANSFERÊNCIAS DE CONVÊNIOS DOS ESTADOS E DE SUAS ENTIDADES
2473;TRANSFERÊNCIAS DE CONVÊNIOS DOS MUNICÍPIOS E SUAS ENTIDADES
2474;TRANSFERÊNCIAS DE CONVÊNIOS DE INSTITUIÇÕES PRIVADAS
2475;TRANSFERÊNCIAS DE CONVÊNIOS DO EXTERIOR
2481;PROVENIENTES DO EXTERIOR
2482;PROVENIENTES DE PESSOAS JURÍDICAS
2483;PROVENIENTES DE PESSOAS FÍSICAS
2484;PROVENIENTES DE DEPÓSITOS NÃO IDENTIFICADOS
2521;INTEGRALIZAÇÃO COM RECURSOS DO TESOURO
2522;INTEGRALIZAÇÃO COM RECURSOS DE OUTRAS FONTES
7112;IMPOSTOS SOBRE O PATRIMÔNIO E A RENDA - INTRA-ORÇAMENTÁRIAS
7113;IMPOSTOS SOBRE A PRODUÇÃO E A CIRCULAÇÃO - INTRA-ORÇAMENTÁRIAS
7121;TAXAS PELO EXERCÍCIO DO PODER DE POLICIA - INTRA-ORÇAMENTÁRIAS
7122;TAXAS PELA PRESTAÇÃO DE SERVIÇOS - INTRA-ORÇAMENTÁRIAS
7311;ALUGUÉIS - INTRA-ORÇAMENTÁRIAS
7312;ARRENDAMENTOS - INTRA-ORÇAMENTÁRIAS
7313;FOROS - INTRA-ORÇAMENTÁRIAS
7314;LAUDÊMIOS - INTRA-ORÇAMENTÁRIAS
7315;TAXA DE OCUPAÇÃO DE IMÓVEIS - INTRA-ORÇAMENTÁRIAS
7319;OUTRAS RECEITAS IMOBILIÁRIAS - INTRA-ORÇAMENTÁRIAS
7321;JUROS DE TÍTULOS DE RENDA - INTRA-ORÇAMENTÁRIAS - INTRA-ORÇAMENTÁRIAS
7322;DIVIDENDOS - INTRA-ORÇAMENTÁRIAS
7323;PARTICIPAÇÕES - INTRA-ORÇAMENTÁRIAS
7329;OUTRAS RECEITAS DE VALORES MOBILIÁRIOS - INTRA-ORÇAMENTÁRIAS
7331;RECEITA DE CONCESSÕES E PERMISSÕES ? SERVIÇOS - INTRA-ORÇAMENTÁRIAS
7332;RECEITA DE CONCESSÕES E PERMISSÕES ? EXPLORAÇÃO DE RECURSOS NATURAIS - INTRA-ORÇAMENTÁRIAS
7333;RECEITA DE CONCESSÕES E PERMISSÕES ? DIREITOS DE USO DE BENS PÚBLICOS - INTRA-ORÇAMENTÁRIAS
7339;DEMAIS RECEITAS DE CONCESSÕES E PERMISSÕES - INTRA-ORÇAMENTÁRIAS
7763;TRANSFERÊNCIA DE CONVÊNIOS DOS MUNICÍPIOS E SUAS ENTIDADES - INTRA-ORÇAMENTÁRIAS
7772;PROVENIENTES DE PESSOAS JURÍDICAS - INTRA-ORÇAMENTÁRIAS
7774;PROVENIENTES DE DEPÓSITOS NÃO IDENTIFICADOS - INTRA-ORÇAMENTÁRIAS
7911;MULTAS E JUROS DE MORA DOS TRIBUTOS - INTRA-ORÇAMENTÁRIAS
7912;MULTAS E JUROS DE MORA DAS CONTRIBUIÇÕES - INTRA-ORÇAMENTÁRIAS
7913;MULTAS E JUROS DE MORA DA DIVIDA ATIVA DOS TRIBUTOS - INTRA-ORÇAMENTÁRIAS
7914;MULTAS E JUROS DE MORA DA DÍVIDA ATIVA DAS CONTRIBUIÇÕES - INTRA-ORÇAMENTÁRIAS
7915;MULTAS E JUROS DE MORA DA DÍVIDA ATIVA DE OUTRAS RECEITAS - INTRA-ORÇAMENTÁRIAS
7918;MULTAS E JUROS DE MORA DE OUTRAS RECEITAS - INTRA-ORÇAMENTÁRIAS
7919;MULTAS DE OUTRAS ORIGENS - INTRA-ORÇAMENTÁRIAS
7921;INDENIZAÇÕES - INTRA-ORÇAMENTÁRIAS
7922;RESTITUIÇÕES - INTRA-ORÇAMENTÁRIAS
