code;description
111;IMPOSTOS
112;TAXAS
113;CONTRIBUIÇÃO DE MELHORIA
121;CONTRIBUIÇÕES SOCIAIS
122;CONTRIBUIÇÕES ECONÔMICAS
131;RECEITAS IMOBILIÁRIAS
132;RECEITAS DE VALORES MOBILIÁRIOS
133;RECEITA DE CONCESSÕES E PERMISSÕES
139;OUTRAS RECEITAS PATRIMONIAIS
141;RECEITA DA PRODUÇÃO VEGETAL
142;RECEITA DA PRODUÇÃO ANIMAL E DERIVADOS
149;OUTRAS RECEITAS AGROPECUÁRIAS
152;RECEITAS DA INDÚSTRIA DE TRANSFORMAÇÃO
153;RECEITA DA INDÚSTRIA DE CONSTRUÇÃO
159;OUTRAS RECEITAS INDUSTRIAIS
172;TRANSFERÊNCIAS INTERGOVERNAMENTAIS
173;TRANSFERÊNCIAS DE INSTITUIÇÕES PRIVADAS
174;TRANSFERÊNCIAS DO EXTERIOR
175;TRANSFERÊNCIAS DE PESSOAS
176;TRANSFERÊNCIAS DE CONVÊNIOS
177;TRANSFERÊNCIAS PARA O COMBATE À FOME
191;MULTAS E JUROS DE MORA
192;INDENIZAÇÕES E RESTITUIÇÕES
193;RECEITA DA DÍVIDA ATIVA
199;RECEITAS CORRENTES DIVERSAS
211;OPERAÇÕES DE CRÉDITO INTERNAS
212;OPERAÇÕES DE CREDITO EXTERNAS
221;ALIENAÇÃO DE BENS MÓVEIS
222;ALIENAÇÃO DE BENS IMÓVEIS
242;TRANSFERÊNCIAS INTERGOVERNAMENTAIS
243;TRANSFERÊNCIAS DE INSTITUIÇÕES PRIVADAS
244;TRANSFERÊNCIAS DO EXTERIOR
245;TRANSFERÊNCIAS DE PESSOAS
246;TRANSFERÊNCIA DE OUTRAS INSTITUIÇÕES PÚBLICAS
247;TRANSFERÊNCIAS DE CONVÊNIOS
248;TRANSFERÊNCIAS PARA O COMBATE À FOME
252;INTEGRALIZAÇÃO DO CAPITAL SOCIAL
255;RECEITA DA DÍVIDA ATIVA PROVENIENTE DE AMORTIZAÇÃO DE EMPRÉSTIMOS E FINANCIAMENTOS
259;OUTRAS RECEITAS
