code;description
11;RECEITA TRIBUTÁRIA
12;RECEITA DE CONTRIBUIÇÕES
13;RECEITA PATRIMONIAL
14;RECEITA AGROPECUÁRIA
15;RECEITA INDUSTRIAL
16;RECEITA DE SERVIÇOS
17;TRANSFERÊNCIAS CORRENTES
19;OUTRAS RECEITAS CORRENTES
21;OPERAÇÕES DE CREDITO
22;ALIENAÇÃO DE BENS
23;AMORTIZAÇÕES DE EMPRÉSTIMOS
24;TRANSFERÊNCIAS DE CAPITAL
25;OUTRAS RECEITAS DE CAPITAL
71;RECEITA TRIBUTÁRIA - INTRA-ORÇAMENTÁRIAS
72;RECEITA DE CONTRIBUIÇÕES - INTRA-ORÇAMENTÁRIAS
73;RECEITA PATRIMONIAL - INTRA-ORÇAMENTÁRIAS
74;RECEITA AGROPECUÁRIA - INTRA-ORÇAMENTÁRIAS
75;RECEITA INDUSTRIAL - INTRA-ORÇAMENTÁRIAS
76;RECEITA DE SERVIÇOS - INTRA-ORÇAMENTÁRIAS
77;TRANSFERÊNCIAS CORRENTES - INTRA-ORÇAMENTÁRIAS
79;OUTRAS RECEITAS CORRENTES - INTRA-ORÇAMENTÁRIAS
81;OPERAÇÕES DE CREDITO - INTRA-ORÇAMENTÁRIAS
82;ALIENAÇÃO DE BENS - INTRA-ORÇAMENTÁRIAS
83;AMORTIZAÇÕES DE EMPRÉSTIMOS - INTRA-ORÇAMENTÁRIAS
84;TRANSFERÊNCIAS DE CAPITAL - INTRA-ORÇAMENTÁRIAS
85;OUTRAS RECEITAS DE CAPITAL - INTRA-ORÇAMENTÁRIAS
91;® RENÚNCIA
92;® RESTITUIÇÕES
93;® DESCONTOS CONCEDIDOS
95;® FUNDEB
96;® COMPENSAÇÕES
98;® RETIFICAÇÕES
99;® OUTRAS DEDUÇÕES
